,dist1,dist2,dist3,angle
0,14.692,1.286,17.762,-22.0
1,14.682,12.853,17.756,-22.0
2,14.663,12.844,17.742,-22.0
3,14.663,12.844,17.742,-22.0
4,14.586,12.782,17.685,-22.0
5,14.586,12.782,17.685,-22.0
6,14.465,12.685,17.594,-22.0
7,14.465,12.685,17.594,-22.0
8,1.439,12.626,17.537,-22.0
9,14.233,12.502,17.416,-22.0
10,14.233,12.502,17.416,-22.0
11,14.233,12.502,17.416,-22.0
12,13.934,12.273,17.177,-22.0
13,13.934,12.273,17.177,-22.0
14,13.934,12.273,17.177,-22.0
15,13.673,1.208,16.961,-22.0
16,13.526,11.974,16.835,-22.0
17,13.526,11.974,16.835,-22.0
18,19.882,11.653,16.411,0.0
19,19.882,11.653,16.411,0.0
20,19.704,11.548,16.253,0.0
21,19.272,11.248,15.971,0.0
22,19.272,11.248,15.971,0.0
23,19.272,11.248,15.971,0.0
24,18.641,10.829,15.573,0.0
25,18.641,10.829,15.573,0.0
26,18.641,10.829,15.573,0.0
27,17.884,10.359,15.118,0.0
28,17.884,10.359,15.118,0.0
29,17.617,10.202,14.965,0.0
30,16.973,10.342,14.609,0.0
31,16.973,10.342,14.609,0.0
32,16.973,10.342,14.609,0.0
33,2.282,0.9441,17.737,0.0
34,2.282,0.9441,17.737,0.0
35,2.282,0.9441,17.737,0.0
36,21.867,0.865,17.002,0.0
37,21.867,0.865,17.002,0.0
38,21.504,0.836,16.729,0.0
39,21.504,0.836,16.729,0.0
40,20.846,0.7853,16.244,0.0
41,20.846,0.7853,16.244,0.0
42,20.171,0.7364,15.761,0.0
43,19.456,0.6887,15.267,0.0
44,19.456,0.6887,15.267,0.0
45,19.456,0.6887,15.267,0.0
46,25.658,0.6491,14.823,0.0
47,25.325,11.849,14.615,0.0
48,25.325,11.849,14.615,0.0
49,24.368,1.101,1.405,0.0
50,24.368,1.101,1.405,0.0
51,2.402,10.712,13.856,0.0
52,23.334,10.136,17.406,0.0
53,23.334,10.136,17.406,0.0
54,23.334,10.136,17.406,0.0
55,22.337,0.9333,16.598,0.0
56,22.337,0.9333,16.598,0.0
57,22.337,0.9333,16.598,0.0
58,27.146,0.8648,15.886,0.0
59,27.146,0.8648,15.886,0.0
60,26.813,0.8412,15.632,0.0
61,26.118,0.7947,15.116,0.0
62,26.118,0.7947,15.116,0.0
63,26.118,0.7947,15.116,0.0
64,25.265,0.7436,14.506,0.0
65,25.265,0.7436,14.506,0.0
66,25.265,0.7436,14.506,0.0
67,25.467,12.192,13.882,0.0
68,25.467,12.192,13.882,0.0
69,25.124,11.898,13.664,0.0
70,24.474,11.351,13.267,0.0
71,24.474,11.351,13.267,0.0
72,24.474,11.351,13.267,0.0
73,28.728,10.594,12.741,0.0
74,28.728,10.594,12.741,0.0
75,28.395,1.034,16.556,0.0
76,27.687,0.9817,15.978,0.0
77,27.687,0.9817,15.978,0.0
78,27.687,0.9817,15.978,0.0
79,26.773,0.9187,15.251,0.0
80,26.773,0.9187,15.251,0.0
81,26.773,0.9187,15.251,0.0
82,25.829,0.8598,14.526,0.0
83,25.829,0.8598,14.526,0.0
84,25.829,0.8598,14.526,0.0
85,24.831,13.348,13.794,0.0
86,24.831,13.348,13.794,0.0
87,24.831,13.348,13.794,0.0
88,23.864,12.534,13.123,0.0
89,23.864,12.534,13.123,0.0
90,23.864,12.534,13.123,0.0
91,23.184,11.979,12.679,0.0
92,22.864,11.725,12.479,0.0
93,22.864,11.725,12.479,0.0
94,28.285,11.002,11.928,0.0
95,28.285,11.002,11.928,0.0
96,28.285,11.002,11.928,0.0
97,27.307,10.327,15.355,0.0
98,27.307,10.327,15.355,0.0
99,27.307,10.327,15.355,0.0
100,26.272,0.9676,14.516,0.0
101,26.272,0.9676,14.516,0.0
102,26.272,0.9676,14.516,0.0
103,2.528,14.438,13.742,0.0
104,2.528,14.438,13.742,0.0
105,2.528,14.438,13.742,0.0
106,24.638,13.908,13.258,0.0
107,23.979,13.376,12.779,0.0
108,23.979,13.376,12.779,0.0
109,23.621,13.092,12.526,0.0
110,22.917,12.548,12.047,0.0
111,22.917,12.548,12.047,0.0
112,22.917,12.548,12.047,0.0
113,22.012,11.879,11.471,0.0
114,22.012,11.879,11.471,0.0
115,21.665,11.632,11.264,0.0
116,20.956,11.147,10.865,0.0
117,20.956,11.147,10.865,0.0
118,20.604,10.918,14.809,0.0
119,26.321,10.508,14.232,0.0
120,26.321,10.508,14.232,0.0
121,26.321,10.508,14.232,0.0
122,25.365,15.203,13.455,0.0
123,25.365,15.203,13.455,0.0
124,25.365,15.203,13.455,0.0
125,2.448,14.499,1.276,0.0
126,2.448,14.499,1.276,0.0
127,2.448,14.499,1.276,0.0
128,23.458,13.717,11.994,0.0
129,23.458,13.717,11.994,0.0
130,23.458,13.717,11.994,0.0
131,22.434,1.297,11.272,0.0
132,22.434,1.297,11.272,0.0
133,22.434,1.297,11.272,0.0
134,2.145,12.296,10.633,0.0
135,2.145,12.296,10.633,0.0
136,21.104,12.071,10.423,0.0
137,20.517,11.703,10.085,0.0
138,20.517,11.703,10.085,0.0
139,20.517,11.703,10.085,0.0
140,19.554,16.087,13.682,0.0
141,19.554,16.087,13.682,0.0
142,19.554,16.087,13.682,0.0
143,18.562,20.528,1.282,22.0
144,18.562,20.528,1.282,22.0
145,19.863,19.968,12.313,22.0
146,19.562,19.688,12.123,22.0
147,19.562,19.688,12.123,22.0
148,18.917,14.428,11.747,0.0
149,18.917,14.428,11.747,0.0
150,18.628,14.211,11.593,0.0
151,17.953,18.226,1.119,22.0
152,17.953,18.226,1.119,22.0
153,17.663,17.987,11.025,22.0
154,19.753,17.373,15.624,0.0
155,19.753,17.373,15.624,0.0
156,19.753,17.373,15.624,0.0
157,19.753,17.373,15.624,0.0
158,19.753,17.373,15.624,0.0
159,19.753,17.373,15.624,0.0
160,17.812,15.738,14.295,0.0
161,17.812,15.738,14.295,0.0
162,1.747,15.467,14.072,0.0
163,1.68,14.942,13.649,0.0
164,1.68,14.942,13.649,0.0
165,16.489,14.704,1.346,0.0
166,16.489,14.704,1.346,0.0
167,15.838,14.214,13.082,0.0
168,15.533,1.399,12.912,0.0
169,14.835,13.489,12.797,0.0
170,14.835,13.489,12.797,0.0
171,14.158,13.022,12.244,0.0
172,14.158,13.022,12.244,0.0
173,13.859,12.822,12.005,0.0
174,13.197,12.397,11.486,0.0
175,13.197,12.397,11.486,0.0
176,1.98,12.219,11.266,0.0
177,19.172,11.862,10.817,0.0
178,19.172,11.862,10.817,0.0
179,18.495,16.159,10.357,0.0
180,18.167,15.958,10.144,0.0
181,18.167,15.958,10.144,0.0
182,17.492,1.556,0.9729,0.0
183,17.492,1.556,0.9729,0.0
184,1.72,15.394,0.956,0.0
185,16.587,19.728,0.9877,22.0
186,16.587,19.728,0.9877,22.0
187,1.627,19.533,0.9588,22.0
188,18.648,18.981,0.9069,22.0
189,18.648,18.981,0.9069,22.0
190,18.648,18.981,0.9069,22.0
191,1.78,1.382,0.85,0.0
192,1.78,1.382,0.85,0.0
193,17.514,13.624,0.8324,0.0
194,20.532,17.657,0.7955,0.0
195,20.532,17.657,0.7955,0.0
196,20.532,17.657,0.7955,0.0
197,19.532,17.022,13.395,0.0
198,19.532,17.022,13.395,0.0
199,19.204,16.822,13.145,0.0
200,18.472,16.391,12.601,0.0
201,18.472,16.391,12.601,0.0
202,18.472,16.391,12.601,0.0
203,17.472,20.194,11.894,22.0
204,17.472,20.194,11.894,22.0
205,17.472,20.194,11.894,22.0
206,16.581,15.246,11.389,0.0
207,16.581,15.246,11.389,0.0
208,16.581,15.246,11.389,0.0
209,19.619,18.823,1.258,0.0
210,19.619,18.823,1.258,0.0
211,19.619,18.823,1.258,0.0
212,18.615,18.175,11.801,0.0
213,18.615,18.175,11.801,0.0
214,18.615,18.175,11.801,0.0
215,17.611,17.562,11.062,0.0
216,17.611,17.562,11.062,0.0
217,17.251,17.352,10.808,22.0
218,16.553,16.959,10.336,22.0
219,16.553,16.959,10.336,22.0
220,16.553,16.959,10.336,22.0
221,1.99,16.307,1.216,0.0
222,1.99,16.307,1.216,0.0
223,1.99,16.307,1.216,0.0
224,19.016,15.746,11.477,0.0
225,19.016,15.746,11.477,0.0
226,18.649,15.536,11.197,0.0
227,17.997,18.972,10.714,22.0
228,17.997,18.972,10.714,22.0
229,17.997,18.972,10.714,22.0
230,17.114,18.237,10.169,22.0
231,17.114,18.237,10.169,22.0
232,17.114,18.237,10.169,22.0
233,19.119,14.062,12.564,0.0
234,19.119,14.062,12.564,0.0
235,19.119,14.062,12.564,0.0
236,1.832,13.602,11.998,0.0
237,1.832,13.602,11.998,0.0
238,1.832,13.602,11.998,0.0
239,1.741,16.325,11.375,0.0
240,1.741,16.325,11.375,0.0
241,1.741,16.325,11.375,0.0
242,1.741,16.325,11.375,0.0
243,1.741,16.325,11.375,0.0
244,1.741,16.325,11.375,0.0
245,1.741,16.325,11.375,0.0
246,1.741,16.325,11.375,0.0
247,1.741,16.325,11.375,0.0
248,1.741,16.325,11.375,0.0
249,1.741,16.325,11.375,0.0
250,1.375,14.007,12.026,22.0
251,13.406,20.787,11.774,22.0
252,13.406,20.787,11.774,22.0
253,13.406,20.787,11.774,22.0
254,13.406,20.787,11.774,22.0
255,13.406,20.787,11.774,22.0
256,13.406,20.787,11.774,22.0
257,13.406,20.787,11.774,22.0
258,13.406,20.787,11.774,22.0
259,13.406,20.787,11.774,22.0
260,13.406,20.787,11.774,22.0
261,13.406,20.787,11.774,22.0
262,15.109,1.195,10.986,0.0
263,14.926,11.825,10.843,0.0
264,14.926,11.825,10.843,0.0
265,14.926,11.825,10.843,0.0
266,14.926,11.825,10.843,0.0
267,14.926,11.825,10.843,0.0
268,14.926,11.825,10.843,0.0
269,13.203,10.778,0.9543,0.0
270,12.856,17.058,0.93,22.0
271,12.856,17.058,0.93,22.0
272,12.856,17.058,0.93,22.0
273,11.955,1.63,0.8789,22.0
274,16.827,16.085,0.8696,0.0
275,16.827,16.085,0.8696,0.0
276,16.827,16.085,0.8696,0.0
277,16.827,16.085,0.8696,0.0
278,16.827,16.085,0.8696,0.0
279,16.827,16.085,0.8696,0.0
280,16.827,16.085,0.8696,0.0
281,16.827,16.085,0.8696,0.0
282,16.827,16.085,0.8696,0.0
283,16.827,16.085,0.8696,0.0
284,16.827,16.085,0.8696,0.0
285,13.162,13.497,0.8429,22.0
286,13.162,13.497,0.8429,22.0
287,13.162,13.497,0.8429,22.0
288,13.162,13.497,0.8429,22.0
289,13.162,13.497,0.8429,22.0
290,13.162,13.497,0.8429,22.0
291,13.162,13.497,0.8429,22.0
292,13.162,13.497,0.8429,22.0
293,22.453,1.194,11.478,0.0
294,2.227,11.771,11.347,0.0
295,2.227,11.771,11.347,0.0
296,2.227,11.771,11.347,0.0
297,2.227,11.771,11.347,0.0
298,2.227,11.771,11.347,0.0
